CB Link ID,Borough,Community Board,Council District,Latitude,Longitude,Project Status,Smallest PPT,Street Address,Postcode,Link Site ID,Link Smoke Tested and Activated (A),Link Installation (A),Neighborhood Tabulation Area (NTA),Building Identification Number (BIN),Borough-Block-Lot (BBL),Census Tract (CT),Location
LINK-001161,Queens,402,26,40.743976,-73.927772,Link Active!,142875,37-02 QUEENS BLVD,11101,qu-02-142875,07/18/2017,06/24/2017,Hunters Point-Sunnyside-West Maspeth,4003178,4002240022,4017900,"(40.743976, -73.927772)"
LINK-001194,Queens,402,26,40.744151,-73.929829,Link Active!,143797,45-01 35 Street,11101,qu-02-143797,02/07/2017,11/05/2016,Hunters Point-Sunnyside-West Maspeth,4436685,4002260001,4017900,"(40.744151, -73.929829)"
LINK-001195,Queens,402,26,40.744278,-73.930399,Link Active!,102099,34-02 Queens Blvd,11101,qu-01-102099,02/02/2017,11/05/2016,Hunters Point-Sunnyside-West Maspeth,4003435,4002460001,4017900,"(40.744278, -73.930399)"
LINK-001290,Queens,402,26,40.743184,-73.951617,Link Active!,141148,10-93 Jackson Ave,11101,qu-02-141148,03/24/2017,03/11/2017,Hunters Point-Sunnyside-West Maspeth,4448532,4000440023,4000700,"(40.74318379, -73.9516172)"
LINK-001353,Bronx,207,14,40.867329,-73.897193,Link Active!,119749,2 EAST KINGSBRIDGE ROAD,10468,bx-07-119749,02/08/2017,01/25/2017,Bedford Park-Fordham North,2014134,2031910030,2040100,"(40.86732884, -73.89719293)"
LINK-001354,Bronx,207,14,40.867371,-73.897645,Link Active!,119760,2663 Jerome Ave,10468,bx-07-119760,07/19/2016,07/01/2016,Kingsbridge Heights,2014396,2032020035,2026500,"(40.86737055, -73.89764488)"
LINK-001357,Queens,401,26,40.753370,-73.912320,Link Active!,140214,50-01 Northern Blvd,11103,qu-01-140214,10/18/2017,09/30/2017,Astoria,4014093,4007480008,4016300,"(40.75336987, -73.91232033)"
LINK-001363,Bronx,204,16,40.839445,-73.915848,Link Active!,119157,96 East 170 street,10452,bx-04-119157,09/15/2016,06/09/2016,West Concourse,2008083,2028420042,2022102,"(40.839445, -73.915848)"
LINK-001364,Bronx,205,14,40.853028,-73.905076,Link Active!,111577,111 East Burnside Ave,10453,bx-05-111577,06/13/2017,04/15/2017,Mount Hope,2013846,2031690059,2024100,"(40.853028, -73.905076)"
LINK-001365,Bronx,205,14,40.857756,-73.901091,Link Active!,102420,126 East 183 street,10453,bx-05-102420,06/29/2016,05/12/2016,Fordham South,2013867,2031710023,2023704,"(40.857756, -73.901091)"
LINK-001482,Manhattan,107,6,40.789457,-73.975041,Link Active!,121243,215 West 88st,10024,mn-07-121243,08/07/2017,06/30/2017,Upper West Side,1087732,1012367502,1017500,"(40.78945727, -73.97504101)"
LINK-001484,Manhattan,107,6,40.790053,-73.974767,Link Active!,133391,216 West 89st,10024,mn-07-133391,10/25/2016,06/24/2016,Upper West Side,1033301,1012360044,1017500,"(40.790053, -73.974767)"
LINK-001486,Manhattan,107,6,40.790235,-73.974793,Link Active!,133633,205 West 89st,10024,mn-07-133633,10/25/2017,09/10/2017,Upper West Side,1033308,1012370017,1017500,"(40.790235, -73.974793)"
LINK-001488,Manhattan,107,6,40.790901,-73.974302,Link Active!,121255,2440 Broadway,10024,mn-07-121255,06/27/2016,05/20/2016,Upper West Side,1033556,1012387501,1017900,"(40.79090129, -73.97430229)"
LINK-001490,Manhattan,107,6,40.790818,-73.974810,Link Active!,121295,2431 Broadway,10024,mn-07-121295,06/27/2016,05/27/2016,Upper West Side,1033386,1012377502,1017500,"(40.790818, -73.97481)"
LINK-001492,Manhattan,107,6,40.791401,-73.973822,Link Active!,121254,215 West 91st,10025,mn-07-121254,07/07/2016,06/24/2016,Upper West Side,1033584,1012390023,1017900,"(40.791401, -73.973822)"
LINK-001495,Manhattan,107,6,40.791943,-73.973425,Link Active!,121253,214 West 92st,10025,mn-07-121253,07/07/2016,05/27/2016,Upper West Side,1033598,1012390044,1017900,"(40.791943, -73.973425)"
LINK-001497,Manhattan,107,6,40.792534,-73.973125,Link Active!,133625,2498 Broadway,10025,mn-07-133625,09/21/2017,08/13/2017,Upper West Side,1033616,1012407502,1017900,"(40.79253447, -73.97312473)"
LINK-001499,Manhattan,107,6,40.792887,-73.973289,Link Active!,134701,251 WEST 93 STREET,10025,mn-07-134701,10/06/2017,08/13/2017,Upper West Side,1033644,1012410010,1017900,"(40.79288708, -73.97328857)"
LINK-001500,Manhattan,107,6,40.793426,-73.973043,Link Installed; Connecting Power and Fiber,107919,250 West 94 street,10025,mn-07-107919,,10/06/2017,Upper West Side,1033653,1012410052,1017900,"(40.79342581, -73.97304342)"
LINK-001501,Manhattan,107,6,40.793181,-73.972649,Link Active!,133624,2518 Broadway,10025,mn-07-133624,08/07/2017,06/27/2017,Upper West Side,1033652,1012410046,1017900,"(40.79318087, -73.97264858)"
LINK-001502,Manhattan,107,6,40.793822,-73.972035,Link Active!,107918,230 West 95 Street,10025,mn-07-107918,07/07/2016,06/04/2016,Upper West Side,1033686,1012420042,1018300,"(40.79382166, -73.97203479)"
LINK-001503,Manhattan,107,6,40.794042,-73.972567,Link Active!,120596,250 West 95 Street,10025,mn-07-120596,07/07/2016,05/20/2016,Upper West Side,1033687,1012420055,1018300,"(40.79404227, -73.97256708)"
LINK-001504,Manhattan,107,6,40.794462,-73.971573,Link Active!,100260,214 West 96 Street,10025,mn-07-100260,11/23/2016,11/04/2016,Upper West Side,1033707,1012430042,1018300,"(40.79446154, -73.97157309)"
LINK-001505,Manhattan,107,6,40.794896,-73.971856,Link Active!,133636,2565 Broadway,10025,mn-07-133636,07/20/2017,06/19/2017,Upper West Side,1056068,1018687501,1018300,"(40.79489566, -73.97185626)"
LINK-001507,Manhattan,107,7,40.795171,-73.971048,Link Active!,120513,230 West 97 Street,10025,mn-07-120513,07/08/2016,05/27/2016,Upper West Side,1056064,1018680044,1018300,"(40.795171, -73.971048)"
LINK-001539,Manhattan,107,7,40.795774,-73.970752,Link Active!,135865,2596 Broadway,10025,mn-07-135865,10/10/2017,07/18/2017,Upper West Side,1056383,1018690044,1018300,"(40.7957738, -73.9707519)"
LINK-001540,Manhattan,107,6,40.796138,-73.970931,Link Active!,133638,2601 Broadway,10025,mn-07-133638,06/29/2017,05/09/2017,Upper West Side,1056414,1018707501,1018700,"(40.796138, -73.970931)"
LINK-001542,Manhattan,107,6,40.796566,-73.970619,Link Active!,120285,2617 Broadway,10025,mn-07-120285,11/02/2016,10/03/2016,Upper West Side,1056410,1018700052,1018700,"(40.796566, -73.970619)"
LINK-001543,Manhattan,107,6,40.796761,-73.970652,Link Active!,107801,243 WEST 99 STREET,10025,mn-07-107801,07/21/2016,07/10/2016,Upper West Side,1056456,1018710010,1018700,"(40.79676125, -73.97065155)"
LINK-001545,Manhattan,107,7,40.796425,-73.970279,Link Active!,133628,2618 Broadway,10025,mn-07-133628,08/18/2017,07/07/2017,Upper West Side,1056408,1018700043,1018700,"(40.79642525, -73.97027901)"
LINK-001546,Manhattan,107,7,40.797148,-73.969630,Link Active!,120510,219 West 100 st,10025,mn-07-120510,09/06/2016,08/13/2016,Upper West Side,1056481,1018720019,1018700,"(40.797148, -73.96963)"
